Time Post infection,V,V,V,V,V,K1,K1,K1,K1,K1,K2,K2,K2,K2,K2,K3,K3,K3,K3,K3,K4,K4,K4,K4,K4,K5,K5,K5,K5,K5,K6,K6,K6,K6,K6,F1,F1,F1,F2,F2,F2,F3,F3,F3,F4,F4,F4,F5,F5,F5,F6,F6,F6
2,282.8739,7445.694,2648.369,3221.924,856.614,87.78,4502.16,2231.1,7186.27,2014.73,773.32,4197.9,1086.47,2366.78,2009.74,1376.04,2679.75,451.54,5217.98,3485.97,249.8,5849.07,3330.33,4329.66,2454.92,609.08,4941.19,1884.34,1874.6,1805.88,302.49,14452.45,8234.1,8234.1,1432.58,10880.31,6303.965,7207.997,7886.791,1079.187,6282.353,6061.598,5564.841,9670.712,741.4387,12261.11,7517,3179.724,4620.117,7600.596,8680.117,4010.218,13648.64
4,225.8633,4119.055,2209.545,2669.132,320.3221,1215.53,2366.01,622.69,3279.09,761.76,1878.97,1779.93,263.63,858.62,941.43,1157.91,1351.56,210.6,2245.49,1533.68,263.09,2153.43,1515.7,3166.37,942.76,1008.22,1976.83,1247.96,1125.98,1012.97,809.17,6350.98,3198.04,3198.04,594.26,6487.856,3686.259,7172.477,6573.833,5588.16,3333.485,3048.283,4091.338,6369.46,694.0009,7201.85,4052.987,1643.467,4340.414,5618.965,6978.188,4935.151,9313.226
6,158.5358,3598.549,2898.474,2805.089,161.697,68937.81,3211.36,2971.59,4616.57,5435.4,70259.53,2105.8,1535.92,3696.45,5607.02,25824.61,4568.76,479.62,1723.99,3142.67,18944.42,3256.63,1504.5,2822.33,1611.77,34366.11,2413.24,1399.7,1572.42,1612.56,65019.02,5285.8,3574.02,3574.02,3831.24,5247.396,2755.856,10758.73,5582.783,4162.438,6266.718,1734.162,2979.501,5181.226,23255.73,5533.728,3401.626,1427.567,2853.05,4577.537,4629.263,3382.728,7645.769
8,360.4355,4928.261,11696.21,11377.29,1121.175,239218.2,63540.53,90234.86,68500.59,114913.3,263172.6,58677.35,52168.15,57771.3,118132,138931.2,35724.96,22079.36,22252.21,67040.73,135150.5,48631.08,29871.61,29121.59,41619.59,302951.7,37367.77,32002.05,22910.46,49625.48,306006.4,34912.23,50268.62,50268.62,92398.29,6834.394,6444.671,67717.72,12190.68,15107.11,73276.14,5523.848,4886.765,24213.43,201813.9,38706.72,41006.84,3813.884,3514.109,25810.23,7584.705,3634.321,18950.33
10,4834.294,18206.61,39721.97,51327.77,11348.32,424377.8,321076.6,434203.3,256969,339888.8,464166.4,304625.5,271122.8,327364.2,498941.3,287048.3,220456,157580.5,159447.4,298013.6,336896.6,264533,203400.9,196416.5,221317.4,747202.1,228592.7,216917.9,200711.5,298624.3,566924.4,182367.2,267500.5,267500.5,321378.7,26684.62,47450.34,195893.9,73497.46,103560,229098.4,37628.23,31007.71,98647.11,494151.4,197702.1,211893.2,31530.81,27575.26,116568.2,29517.06,17002.78,73357.66
12,27286.77,58224.61,93378.79,149606.3,37141.39,569495.6,724727.5,905089.7,478633.3,580439.8,604368.5,708790.8,641529.1,808020.6,1069323,410968.4,501877.9,424435.9,427995.2,632880,531944.6,578456.4,506066.8,496214.4,530502.4,1183777,536752.1,527582.3,548664.9,711184.2,732544.8,409389.3,577491.1,577491.1,573131.1,100224.7,150516.3,353358.2,229718.9,298845.3,391717.6,128638.5,108484.6,208454.8,799196.8,407344.9,444049.5,130313.8,123374.8,251180.5,104742.1,70826.39,158634.3
14,79727.96,139920.3,175617.9,307513,90343.08,660517.3,1130189,1356081,665707.4,748444.9,670246.4,1095940,995650.7,1318486,1644690,479957.1,772947.4,731721.1,741130.3,955083.1,663009,874305.2,865594.2,866639.7,890497,1580091,814919.9,808012.2,949967.1,1176709,802135,629069.6,848090.5,848090.5,776831.9,218126.7,289018,506988.2,456248.8,559155.7,543233.1,270357.4,219338.4,330150.9,1138244,593135.7,656992,295631.5,276089.2,387018.6,230685.3,167891.8,241646.1
16,177869.5,271182.1,276466.5,521159.8,168308.1,709509.4,1414952,1634629,776641.4,850004.6,694153.2,1373085,1261713,1779125,2121247,514003.1,962848.6,975346.9,1014567,1217268,731714.5,1091394,1273126,1290630,1268005,1861154,1001723,1016019,1362130,1630168,816614.7,768687.1,1005547,1005547,919182.5,380799.2,439570,649138.7,744612.5,887463.4,683705.2,448256.8,346219.1,456514.8,1466312,760807.6,849019.1,499702.1,449374,512468.7,412095.8,294007.5,320725.3
18,331588.8,451446.3,381015,759024.6,258372.6,724134.1,1572224,1786487,834135.6,899365.4,689806.8,1539128,1433146,2150698,2519203,518275.5,1090418,1152690,1285107,1427251,748029.6,1279735,1715724,1775564,1676714,2018403,1112662,1142700,1892606,2141520,799399.6,831340,1059282,1059282,1036348,580951.9,594704.7,785216.3,1092959,1205289,807925.4,674863.6,487290.9,581917.4,1772468,905669.5,1019364,779703.1,644245.4,632447.3,639520.2,465426.7,393422.8
20,524877.4,631860.6,455454.8,971429.4,358254.4,724844.6,1632671,1845576,864662.4,911678.3,678612.6,1650799,1547241,2306074,2607578,511226.3,1149370,1263094,1403388,1505290,749752.4,1388223,1890287,1965232,1814676,2074077,1178600,1211316,2134162,2335148,779601.8,853111.9,1074948,1074948,1072522,819044.9,739405.2,893235.2,1422000,1496212,900163,964723.2,632877.4,680075.1,2008781,1042294,1155771,1116025,851157.1,730239.6,871549.3,670205.9,450163.1
22,710859.6,796362.4,527523.1,1126278,430857.4,718921.6,1640830,1859918,875322.7,901176.7,654446.9,1709587,1596455,2355398,2639272,500354.5,1162065,1320761,1448476,1515627,728471.3,1416547,1953847,2026522,1862751,2076150,1204276,1240737,2240404,2372863,747806.9,831792,1042746,1042746,1081651,1059999,881529.5,1017530,1713671,1736203,994353.4,1285500,780904.1,800731.6,2201304,1131930,1272385,1428296,1041934,833595.4,1066574,862539.3,513779.4
24,855251.9,908958.6,560847.1,1222656,485340.9,705878.8,1601959,1824889,865938,882355.5,622273.2,1716344,1610008,2365715,2631458,482338.3,1156302,1321650,1452586,1510841,701163.4,1415304,1964863,2038391,1864130,2067221,1194546,1224707,2245765,2366618,716111.4,819276.3,1001470,1001470,1076702,1298560,1003229,1087640,1959914,1919526,1021290,1593503,909087.3,852179.9,2356269,1224931,1382779,1703785,1191324,886621.2,1238856,1031603,553267.4
26,948607.3,991528.1,589497,1288537,523517.1,689816,1546054,1767283,846735.3,870725.7,592969.2,1697159,1594506,2322556,2584525,462513.9,1121289,1285929,1439172,1476897,671867.9,1385246,1944496,2024760,1853717,2025067,1180005,1214061,2239354,2359675,678114.6,779054.6,974798.5,974798.5,1051900,1487481,1105323,1155125,2144879,2070388,1054687,1869900,1022920,923338.9,2481050,1297207,1468459,1921953,1306041,942595.9,1385771,1179918,589795.8
28,1025116,1048700,607711.8,1320088,539209.4,670043.7,1486568,1685309,828827.9,852453.5,567468.5,1678133,1555138,2289522,2512202,434502.3,1090642,1240752,1410099,1440532,636448,1356128,1911612,1985355,1822034,1995263,1159404,1187618,2199524,2310042,635039.4,750782.4,934485.5,934485.5,1021830,1661347,1188383,1218110,2263376,2185338,1071727,2119204,1107752,977269.6,2576417,1351869,1535175,2094265,1405164,990865.2,1495114,1308738,626325.4
30,1071550,1103829,625567.2,1339544,558045.6,644854,1409863,1611265,803647.1,822051.9,535602.3,1620438,1506890,2239137,2466637,409817.3,1041356,1187617,1372770,1389862,602266.3,1311525,1876989,1938329,1782958,1970956,1141371,1162123,2172187,2263415,600321.9,708625.4,888743,888743,997413.7,1809182,1292053,1257973,2336285,2316994,1088748,2331104,1235876,1033091,2635187,1389267,1582239,2237657,1553442,1017306,1592507,1435265,655959.4
32,1084404,1127700,625566.3,1338442,560666.4,613051.1,1321576,1532512,778468.7,790226.3,503410.1,1553560,1448171,2169630,2376051,390122.1,997694.2,1132318,1320310,1335230,569650.6,1271908,1840920,1900594,1746070,1950488,1127026,1140925,2115948,2219195,567152.4,683684.8,851074.7,851074.7,967630.1,1923292,1360329,1300916,2379743,2385108,1099095,2497666,1308456,1073566,2694638,1429990,1621426,2329117,1639485,1046055,1657357,1528277,689633.7
34,1115042,1147574,639214.1,1336258,563418.6,579664.7,1241194,1443918,745531.9,761327.1,471268.6,1499940,1401959,2088133,2299192,362709.1,946733.2,1067398,1262595,1282994,538825.6,1243921,1804254,1862455,1699672,1922191,1102964,1118417,2069357,2159648,540925.1,648306.4,818150.8,818150.8,933044.6,2006473,1411910,1320533,2387650,2428972,1104444,2643640,1371521,1113204,2732465,1440418,1645223,2387425,1697192,1071999,1704173,1600514,706443.4
