,Donor 3,Donor 3,Donor 3,Donor 4,Donor 4,Donor 4,Donor 5,Donor 5,Donor 5,Donor 3,Donor 3,Donor 3,Donor 4,Donor 4,Donor 4,Donor 5,Donor 5,Donor 5
ACV,88.318,80.9444,74.905,76.1945,42.5801,48.4667,70.4244,81.2503,73.5489,0.3126,0.2369,0.1506,0.4892,0.1495,0.1525,0.5864,0.4006,0.4104
AMN,0.903059,0.683657,0.233526,0.074921,0.140729,0.20035,0.451489,0.131443,0.20035,0.247321525,0.035191397,0.162618451,0.030220678,0.025194796,0.126177056,0.267686217,0.234165981,0.039541132
PRT,0.164464,0.224342,0.14981,0.159522,0.103504,0.103398,0.168195,0.105091,0.103398,0.289928235,0.092651966,0.15382395,0.10903034,0.085201925,0.170557378,0.223114347,0.24458126,0.112348159
FMP,,0.970236,,0.030184,0.787771,0.728028,0.374362,0.966576,0.728028,60,60,60,60,60,60,60,60,60
FLR,0.05406,0.153635,0.10467,0.125101,0.048185,0.111801,0.201465,0.15696,0.081369,0.881358326,0.229502751,0.522072684,0.333084636,0.263575303,0.369665656,0.301220975,0.364539231,0.312288103
GMC,0.137247,0.100625,0.145592,0.093432,0.04183,0.170485,0.217716,0.089709,0.170485,0.031105629,0.038212949,0.029203865,0.078584778,0.04741875,0.037213439,0.044214626,0.074188367,0.096802071
LNT,0.128956,0.175497,0.075903,0.080552,0.174959,,0.075473,0.053566,0.055236,0.076277742,0.063283265,0.1021421,0.076277742,0.063283265,0.1021421,0.100252397,0.117737842,0.100217518
LDC,1.415557,2.109492,2.395566,0.109919,0.765904,1.580298,2.764934,1.077378,1.580298,0.791835153,1.115085605,2.219927743,1.189919323,0.851419557,1.699975549,0.437321731,0.453012621,0.360495732
NCD,2.96031,,12.86659,5.716528,,8.435193,15.38927,1.595588,8.435193,0.377855316,0.162178201,0.571762416,0.485358651,0.169322114,0.602090151,0.401941768,0.954394467,0.371679613
SNX,0.11079,0.120805,,0.076867,0.068904,0.074579,0.051166,0.04634,0.047161,0.036208428,0.055632917,0.032402292,0.055497654,0.05928674,0.048213978,0.032979458,0.06049773,0.077047751
VRD,0.662378,1.988019,1.748153,0.647212,0.951144,2.206788,3.943742,2.088647,2.206788,60,9.961190538,8.415529655,60,60,60,30.02833272,60,4.234395568
VLX,7.085348,6.240136,3.096385,,3.457339,,3.04103,4.190526,4.156137,2.689744409,,2.308029621,2.689744409,,2.308029621,2.764086655,2.89401588,3.370285703
