,Donor 3,Donor 3,Donor 3,Donor 4,Donor 4,Donor 4,Donor 5,Donor 5,Donor 5,Donor 3,Donor 3,Donor 3,Donor 4,Donor 4,Donor 4,Donor 5,Donor 5,Donor 5
ACV,-3.243835287,-6.253432015,7.44273007,7.413673389,15.74335799,16.33792624,15.148872,-3.899795641,7.962087622,99.41045196,99.31781041,98.898114,97.55091136,99.03094058,99.44841073,97.41965153,99.03083774,98.19190379
AMN,65.84587216,89.45222761,84.43082504,99.52790703,93.43367919,99.34645981,98.87899338,99.79620526,99.34645981,99.87784314,98.71920555,100.7095203,96.67361558,99.46840107,99.55405253,99.89758108,98.98732242,97.74504828
PRT,98.40764054,97.46622247,98.74491437,98.99783203,98.9881782,99.79590716,99.74063192,100.399781,99.79590716,89.0793402,100.7542562,97.26259964,99.35497001,100.8097698,100.1350132,99.93458043,99.77268237,100.393935
FMP,43.856707,61.13575166,46.24990672,88.06032254,66.69384893,65.75320908,65.9592192,60.50776933,65.75320908,2.705,15.09683827,20.01917842,,,,39.5839473,,41.4018111
FLR,98.92999932,99.94,99.99999406,100.1999965,100.1,100.0999975,99.92,99.96999994,99.95,99.41996353,100.495785,101.4097796,99.7764276,100.4999698,99.81980477,100.3965699,99.95988496,99.99942275
GMC,100.05019,98.782276,99.1650374,97.6693468,100.7790729,99.55305828,97.74510072,98.92915037,99.55305828,99.52,99.75999905,100.1,99.50660659,99.97999986,100.0999918,99.99999986,99.85,99.54982415
LNT,90.33955664,92.94076948,99.74883714,97.32576969,97.63338916,93.18926272,99.90935913,93.2435876,93.18926272,94.72812668,94.55365702,94.25204699,87.95426581,87.74918802,93.16230841,96.59679238,96.0063205,96.36642718
LDC,99.83,100,99.81,100.5985566,101.6600482,,100.3999034,100.2998145,100.4995144,99.87,99.97,99.91,99.87,99.97,99.91,99.96,99.96,99.88
NCD,72.72568156,17.88888227,32.47215187,63.82375565,,56.41865159,31.92132268,91.61711261,56.41865159,98.26978962,99.99964233,98.64286591,99.197649,101.0957464,99.84628877,98.08840081,99.48891686,100.2885558
SNX,98.9798639,99.53999612,,100.3998157,100.3997927,99.57999996,99.93999207,100.0998471,100.2996317,99.72975722,98.81999991,100.2998438,99.11994977,99.84999992,100.199701,100.3874851,99.31999466,98.56879864
VRD,95.75693373,84.78389861,87.1003063,95.55176225,98.63389854,94.98285423,86.36092676,87.72015548,94.98285423,23.87071236,50.05658394,52.75007967,,24.32853505,23.75871381,48.26315297,,51.74402954
VLX,97.66545165,86.70322147,80.17632715,,99.20254337,,99.90142862,95.51936764,95.39476693,100.6281628,,99.43999972,100.6281628,,99.43999972,99.82999127,99.91823333,99.97970606
