"","K","F","S","A"
"ACV","68.9965239565279","0.283929070752462","0.45111584504314","0.04"
"AMN","0.248557390531011","0.0886172086253287","0.266378810911074","0.148580611268517"
"PRT","0.137218108020985","0.150720580779973","0.497723754471113","0.187444186053934"
"FMP","0.460995696424823","60","1.44742835050327","0.04"
"FLR","0.104666098960919","0.365887178464568","0.149238990066292","0.219948224730654"
"GMC","0.118075208361078","0.0486564606392879","0.185987512168884","0.160238576373065"
"LNT","0.0925999457663968","0.0870682303231277","0.0942237014060467","0.0845153503151676"
"LDC","1.18131496294801","0.853798202925355","0.67150817009705","0.107349311133827"
"NCD","6.26874003059691","0.397398030222952","0.36035797724948","0.107368832266885"
"SNX","0.0702204101579591","0.0488760506280234","0.047622031559046","0.04"
"VRD","1.56662820612875","27.2512064139094","0.354919042571999","0.14917664439498"
"VLX","4.25057146927837","2.69740585008277","6.30072050212644","0.151121227736446"
