"","K","F","S","A"
"ACV","6.22222222222222","98.5555555555556","95.34125","97.66"
"AMN","92.1111111111111","99.2222222222222","85.3166666666667","112.356666666667"
"PRT","99.1111111111111","98.5555555555556","94.6366666666667","101.893333333333"
"FMP","62.7777777777778","23.8","87.4266666666667","88.5966666666667"
"FLR","99.8888888888889","100","96.4966666666667","111.833333333333"
"GMC","99.3333333333333","100","99.8433333333333","101.78"
"LNT","95.2222222222222","93.5555555555556","106.86","99.4933333333333"
"LDC","100.375","100","94.82","99.8733333333333"
"NCD","52.875","99.3333333333333","97.1266666666667","98.6766666666667"
"SNX","99.875","99.5555555555556","101.776666666667","107.14"
"VRD","91.8888888888889","39.2857142857143","68.5733333333333","107.806666666667"
"VLX","93.5714285714286","100","55.5","101.223333333333"
